"","id","year"
"1",4,1992
"2",4,1997
"3",6,1973
"4",6,1983
"5",7,1998
"6",13,2003
"7",15,1991
"8",16,1977
"9",17,1991
"10",18,1991
"11",25,1982
"12",26,1985
"13",31,1993
"14",34,1990
"15",36,2000
"16",38,1992
"17",40,1990
"18",40,1996
"19",40,2002
"20",41,1991
"21",47,1999
"22",50,1978
"23",52,1979
"24",55,1978
"25",56,1992
"26",57,1995
"27",59,1990
"28",64,1995
"29",65,1970
"30",65,1979
"31",65,1996
"32",70,1994
"33",70,2005
"34",72,1975
"35",73,1984
"36",75,1966
"37",75,1986
"38",78,1992
"39",80,1982
"40",81,2000
"41",82,2006
"42",83,1990
"43",84,1999
"44",96,2002
"45",97,2005
"46",101,1988
"47",104,2005
"48",105,2004
"49",109,1993
"50",112,1993
"51",115,1994
"52",116,1993
"53",118,1997
"54",120,1992
"55",123,1993
"56",124,1994
"57",128,1994
"58",133,1991
"59",134,1979
"60",134,1999
"61",135,1990
"62",138,1991
"63",138,2006
"64",141,1972
"65",141,1988
"66",142,1994
"67",143,1980
"68",144,1987
"69",149,1976
"70",150,1993
"71",154,1990
"72",155,1993
"73",158,1965
"74",158,1986
"75",159,2000
"76",162,2004
"77",163,1996
"78",163,2001
"79",164,1982
"80",167,1988
"81",168,1993
"82",177,1974
"83",177,1978
"84",183,1983
"85",187,1994
"86",188,1985
"87",199,1994
"88",201,1991
"89",202,1978
